industry,country,layoff_count,workforce_percentage,total_funding_million_usd,stock_price_change_7d,revenue_growth_percent,market_cap_billion_usd,ai_automation_flag,year,hiring_status,company_size_encoded
Finance,USA,86,8.15,1560.48,-3.99,-8.75,298.47,0,2023,Hiring,0
Finance,Singapore,26,14.01,290.02,-4.28,6.2,325.48,0,2020,Hiring,1
Finance,Germany,213,8.09,370.89,4.6,-34.19,152.19,0,2022,Hiring,2
Retail,Singapore,350,21.47,802.72,-9.14,8.33,23.43,0,2024,Slowdown,1
Tech,UK,410,21.06,1186.87,0.01,-12.26,23.32,1,2024,Hiring,1
Manufacturing,India,4,1.52,1884.69,-3.27,2.9,281.69,0,2021,Freeze,0
AI,USA,262,27.69,883.1,-3.04,-3.0,61.11,0,2025,Freeze,0
FinTech,Canada,41,16.25,368.56,-5.82,-15.67,377.71,0,2026,Hiring,2
Finance,USA,659,38.81,1551.39,4.05,8.28,469.76,0,2022,Hiring,0
Energy,Canada,118,13.74,1143.04,10.13,8.95,260.47,0,2025,Freeze,0
Retail,Canada,132,14.91,565.46,-6.08,9.86,271.39,0,2020,Hiring,2
Retail,UK,1,1.61,849.69,-10.25,14.54,197.5,0,2025,Slowdown,1
FinTech,Germany,192,31.08,152.72,5.8,-17.62,179.3,0,2023,Hiring,0
Energy,Canada,181,15.46,1339.34,2.1,-18.61,332.99,0,2020,Slowdown,2
Retail,Japan,314,19.42,243.59,9.3,10.42,356.65,1,2024,Freeze,0
Retail,Singapore,89,10.99,85.67,-10.72,2.74,355.36,0,2026,Slowdown,2
Energy,Brazil,274,25.82,632.14,-0.14,1.7,254.33,0,2022,Freeze,2
Tech,India,186,22.05,410.11,3.59,29.34,471.43,0,2021,Freeze,2
Finance,Australia,696,37.26,1617.2,-0.48,8.86,316.74,0,2024,Slowdown,1
FinTech,USA,523,35.81,1080.99,2.39,0.36,403.74,0,2021,Slowdown,1
Finance,Canada,150,11.61,1297.14,-11.15,-15.24,0.36,0,2024,Hiring,1
AI,Singapore,190,20.92,837.73,-9.42,-0.14,111.13,0,2022,Slowdown,0
FinTech,Germany,142,9.53,1118.41,-3.22,4.77,201.98,0,2021,Slowdown,0
Tech,Brazil,145,10.82,997.01,16.71,5.9,150.51,0,2025,Freeze,0
Retail,USA,40,2.29,693.42,12.8,10.07,317.21,0,2022,Hiring,0
EdTech,India,307,39.44,487.9,3.19,-6.63,336.1,0,2025,Slowdown,0
FinTech,UK,312,32.32,943.25,-6.12,23.27,491.71,1,2022,Freeze,2
FinTech,Germany,802,33.58,644.96,-7.03,6.49,93.34,0,2023,Slowdown,2
EdTech,Singapore,96,9.59,1423.74,-5.16,-5.8,404.77,0,2025,Hiring,0
